variable,question,file
C1EPER17,"17/25

 
Infusing the ordinary with special meaning 
Enriching day-to-day experiences with language, thoughts, and actions that promote positive associations. Rather than seeing experiences only in a functional way","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER18,"18/25

 
Self-congratulating 
Giving yourself credit for the causes of positive experiences; seeing your experiences with a positive view of your strengths, achievements, and self-worth. Rather than overlooking opportunities to honor yourself","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER19,"19/25

 
Expressing or acknowledging gratitude 
Considering how others have benefited from your actions, or how you have benefited from others’ actions. Rather than letting contributions pass by without noticing their positive impact","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER20,"20/25

 
Relative comparing 
Embracing your own experiences in comparison with what others seem to be experiencing, or with what you imagined an event would be like. Rather than absorbing your joys and letdowns without a reference point","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER21,"21/25

 
Sharing the positive experience with others

Creating a ripple effect between you and others in response to positive experiences; telling others how much you value the moment, or recounting stories about past joys, or good fortune. Rather than experiencing life’s joys in solitude","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER22,"22/25

 
Purposeful dampening

Intentionally down-regulating your positive emotions to help maintain perceived control. Rather than letting emotions arise regardless of the circumstance","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER23,"23/25

 
Enriching the sensory environment

Encountering or cultivating pleasant sensory stimulation. Rather than continually experiencing the same level of stimulation","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER24,"24/25

 
Altering bodily engagement

Reviving or relaxing your body with dynamic movement or rest. Rather than giving energy only to your thoughts","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPER25,"25/25

 
Neurochemically heightening emotions

Using food, drink, behaviors, or mind-altering substances to enhance your emotional state. Rather than relying solely on your intention to feel better","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ETENS.S1,"When I do this activity with these technologies, it makes me feel close to people who are important to me","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ETENS.S2,"When I do this activity with these technologies, it makes me feel connected to other people","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ETENS.S3,"When I do this activity with these technologies, it makes me feel that people care about me","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ETENS.F1,"When I do this activity with these technologies, it makes me feel excluded or isolated","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ETENS.F2,"When I do this activity with these technologies, it makes me feel lonely","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ETENS.F3,"When I do this activity with these technologies, it makes me feel like I don’t matter to other people","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS01,Enthusiastic,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS02,Interested,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS03,Determined,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS04,Excited,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS05,Inspired,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS06,Alert,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS07,Active,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS08,Strong,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS09,Proud,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EPAS10,Attentive,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ECSAT,"Overall, HOW SATISFIED were you with the technologies’ ability to SUPPORT YOUR HAPPINESS through this episode?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ESOC1,"Were you interacting with any human beings (i.e., in person, online) during this episode?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ESOC2,"Was the social interaction in real-time (e.g., video chat), or was it asynchronous (e.g., social media comments)?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ1,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Selected Choice,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ1_99_TEXT,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Other (please specify) - Text,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ2,"Ideally, HOW OFTEN would you LIKE TO ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ3,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Selected Choice","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ3_1_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Time it takes for the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ3_2_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Energy it takes for the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ3_3_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Money it takes for the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ3_4_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Interest level I have in the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ3_5_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Personal values I have towards the activity (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFREQ3_99_TEXT,"What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply)



Note: The text box is optional. - Other (please explain) - Text","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EINDO,Were you indoors or outdoors during the activity?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ENEC,"HOW NECESSARY were the TECHNOLOGIES to engage in the main part THIS ACTIVITY (i.e., you would NOT have done the activity without them)?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EBODY,I MOVED MY BODY A LOT during this ACTIVITY.,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1ECONV,"Overall, HOW CONVENIENT was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EEFF,"Overall, HOW EASY was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EFEEL,"[optional] In what ways did the technologies ENHANCE how you felt?



Example: “The music calmed me down”, or, “the video call felt almost like being in the same room”.","DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
C1EELSE,[optional] Is there ANYTHING ELSE you want to say about your experience?,"DRM_Day 3_Packet C1_Cornell_250204_July 4, 2025_00.33.csv"
StartDate,Start Date,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
EndDate,End Date,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
Status,Response Type,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
Progress,Progress,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
Duration..in.seconds.,Duration (in seconds),"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
Finished,Finished,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
RecordedDate,Recorded Date,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
ResponseId,Response ID,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
DistributionChannel,Distribution Channel,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
UserLanguage,User Language,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
Q_RecaptchaScore,Q_RecaptchaScore,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
A3SONA,"ID#



Before we move on ––

What's your participant ID# on SONA?

SONA Provides you with an ID# (e.g., 12345). Visit SONA here to find it: https://cornellpsych.sona-systems.com/



Note: If you don’t have a SONA ID#, please write your Cornell email address (e.g., jdf269@cornell.edu). Your data will remain confidential. I will ‘de-identify’ your information before sharing the study results with anyone.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
A3ATT,"On a scale of 1-7, please select the number ‘4’ below (to confirm your attention to this question).","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SP1,"You spend some time focusing on a spiritual subject (e.g., you meditate or pray or read on a spiritual subject, etc.).



I am mindful of how important this subject is to me.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SP2,"You have a comforting or enlightening spiritual experience.



I am enthralled by this very personal experience.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SP3,"You encounter an evocative spiritual work.



I immerse myself in this meaningful experience.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SP4,"You listen to sacred or spiritual music.



I attend to the transcending feelings this music elicits.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.IN1,"You watch your favorite artist perform live.



I yield to the excitement I feel.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.IN2,"Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



You spend some time gazing at the sky (e.g., a splendid skyscape, a majestic star field, a lovely sunset or sunrise, etc.).



I marvel at the colors painted across the sky.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.IN3,"You attend a spectacular Broadway show or musical.



I tune into the enthusiasm evoked by this performance.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.IN4,"You watch a moving dance performance.



I embrace the emotions and beauty of the choreography.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.GR1,"Someone makes you dinner.



I recognize and cherish the kindness of the act.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.GR2,"Your hands are full of heavy things, you have a long way to go, and a good soul offers to help you carry your load.



I take the time to feel thankful for this person’s generosity.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.GR3,"A friend does you an unexpected favor.



I feel fortunate to have such a friend.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.GR4,"Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



A friend helps you move to your new place.



I am so pleased that my friend went out of their way for me.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.AP1,"You witness an awesome display of nature’s might (a lightning storm, torrential rains, snowstorm, etc.).



I admire the breath-taking display.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.AP2,"An experience makes you realize how wonderful nature is (e.g., hearing birds sing, seeing and hearing a waterfall, petting a cute puppy, etc.).



I take in the beauty of nature.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.AP3,"You stare at an impressive seascape.



I am awed by the power and beauty of the sea.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.AP4,"You go to an exciting circus show.



I am enchanted by the physical feats and visual spectacle I witness.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SR1,"You have just achieved something dear to your heart.



I relish the sense of accomplishment.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SR2,"Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



You discover you have learned something new about the value of self-care.



I recall the satisfaction derived from this self-improvement.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SR3,"You look back on a challenging situation you faced and consider what you learned from it.



I reflect on how I have grown from this challenge.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.SR4,"You realize something new about yourself.



I attend to the satisfaction of having improved my self-knowledge.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.ML1,"You come across intriguing ideas about the meaning of life.



I am captivated by these fascinating new insights about life.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.ML2,"You reflect on the ultimate meaning of life.



I am aware of the interesting twists and turns of this existential exploration.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.ML3,"You ponder whether there is an overarching purpose to life.



I concentrate on the profound ideas incited by this question.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.ML4,"You read a philosophical text on the finality of existence.



I give free rein to my curiosity and engage in deep thoughts on this meaningful issue.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.HE1,"Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



You sit at a table and are handed your favorite dish (e.g., a juicy steak, your favorite junk food item, a tasty salad, a scrumptious seafood platter, etc.).



I delight in the sight, the smell and the taste of this meal.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.HE2,"You lie on a cozy bed or sofa, wrapped in a soft blanket.



I let myself unwind and luxuriate in comfort.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.HE3,"You sip your preferred drink (a gourmet coffee, a flavorful smoothie, a nice glass of beer or wine, etc.).



I relish the exquisite taste.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
SCI.HE4,"You soak in a hot whirlpool or a spa.



I take in the luxurious feeling of comfort, as the water soothes my muscles and relaxes me.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.R1,I try to think good thoughts no matter how bad I feel.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.R2,"Although I am sometimes sad, I have a mostly optimistic outlook.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.R3,"When I become upset, I remind myself of all the pleasures in life.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.R4.R,"When I am upset, I realize that the “good things in life” are illusions.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.R5.R,"Although I am sometimes happy, I have a mostly pessimistic outlook.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.R6.R,"No matter how bad I feel, I try to think about pleasant things.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.R7,"When I am happy, I sometimes remind myself of everything that could go wrong.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A1.R,People would be better off if they felt less and thought more.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A2.R,I don’t think it’s worth paying attention to your emotions or moods.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A3.R,I don’t usually care much about what I’m feeling.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A4,Feelings give direction to life.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A5,I believe in acting from the heart.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A6,The best way for me to handle my feelings is to experience them to the fullest.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A7.R,One should never be guided by emotions.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A8.R,I never give into my emotions.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A9,I pay a lot of attention to how I feel.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A10.R,I don’t pay much attention to my feelings.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A11,I often think about my feelings.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A12.R,Feelings are a weakness humans have.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.A13.R,It is usually a waste of time to think about your emotions.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C1.R,"Sometimes, I can’t tell what my feelings are.","DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C2.R,I can never tell how I feel.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
Q62,I can never tell how I feel.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C3.R,My beliefs and opinions always seem to change depending on how I feel.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C4,I am often aware of my feelings on a matter.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C5.R,I am usually confused about how I feel.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C6,I feel at ease about my emotions.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C7.R,I can’t make sense out of my feelings.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C8,I am usually very clear about my feelings,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C9,I usually know my feelings about a matter.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
TMMS.C10,I almost always know exactly how I am feeling.,"DRM_Day 4_Packet A3_Cornell_250308_July 4, 2025_00.38.csv"
StartDate,Start Date,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
EndDate,End Date,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
Status,Response Type,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
Progress,Progress,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
Duration..in.seconds.,Duration (in seconds),"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
Finished,Finished,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
RecordedDate,Recorded Date,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
ResponseId,Response ID,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
DistributionChannel,Distribution Channel,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
UserLanguage,User Language,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
Q_RecaptchaScore,Q_RecaptchaScore,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2SONA,"ID#



Before we move on ––

What's your participant ID# on SONA?

SONA Provides you with an ID# (e.g., 12345). Visit SONA here to find it: https://cornellpsych.sona-systems.com/



Note: If you don’t have a SONA ID#, please write your Cornell email address (e.g., jdf269@cornell.edu). Your data will remain confidential. I will ‘de-identify’ your information before sharing the study results with anyone.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MNAM,"What’s a short name to describe yesterday MORNING's episode? (e.g., ‘walking to class’).","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MBEG_27,When did this episode BEGIN? Please try to remember the time as precisely as you can. - AM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MBEG_4,When did this episode BEGIN? Please try to remember the time as precisely as you can. - PM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MEND_27,When did this episode END? Please try to remember the time as precisely as you can. - AM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MEND_4,When did this episode END? Please try to remember the time as precisely as you can. - PM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MDC,What were you doing? (please check all that apply) - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MDC_99_TEXT,What were you doing? (please check all that apply) - other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MDO,"Please DESCRIBE the general EXPERIENCE in terms of the MAIN thing you were doing during the episode.



Example: I was playing a video game with friends using a headset so we could talk to each other","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MDM,"[optional] What OTHER THINGS were you doing or THINKING ABOUT?



Example: I was trying not to think about my upcoming exam.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTC,What technologies did you use? (please check all that apply) - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTC_99_TEXT,What technologies did you use? (please check all that apply) - other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MCO,"[Optional] -- How did the COMBINATION of multiple TECHNOLOGIES / apps contribute towards IMPROVING your EMOTIONAL STATE?



Example: “Listening to white noise while scrolling on Instagram helped me to relax before bed. The lavender scent diffuser, along with a fan, also helped me to relax.”","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MATT,"On a scale of 1-7, please select the number ‘4’ below (to confirm your attention to this question).","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLE1,"To what degree did you approach this activity with the following intention, whether or not you actually achieved your aim?



Seeking to pursue excellence or a personal ideal?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLE2,Seeking to use the best in yourself?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLE3,"Seeking to develop a skill, learn, or gain insight into something?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLE4,Seeking to do what you believe in?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLH1,Seeking enjoyment?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLH2,Seeking pleasure?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLH3,Seeking fun?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLH4,Seeking relaxation?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MLH5,Seeking to take it easy?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER1,"1/25
 

Bettering yourself
Committing to meaningful challenges or passions that accord with your deeply-held values. Rather than indulging yourself constantly, or serving others’ needs only","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER2,"2/25
Indulging
Allowing yourself to enjoy what you desire to do. Rather than resisting the urge to do so","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER3,"3/25
Being considerate and helping others
Sharing your resources and attention for the benefit of another person or group’s needs or preferences. Rather than acting solely for personal gain","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER4,"4/25
Engaging in a collective
Joining in, or contributing to the shared concerns of a group. Rather than feeling apart from a sense of communal purpose","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER5,"5/25
Practicing spirituality and religion
Engaging in structured or ritualistic thoughts and behaviors that anchor your view of life within a larger cosmology. Rather than having no practiced tradition through which to process your experiences","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER6,"6/25
 

Please choose any number of the remaining 20 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)
 

Creating a savoring atmosphere
Creating or rearranging the environment to physically, psychologically, and socially support the intended positive experience. Rather than sticking to the status quo","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER7,"7/25
Capturing
Actively collecting physical or mental mementos (e.g., photos and souvenirs) that will later prompt vivid recall, thereby making the future experience more positive. Rather than experiencing the positive experience in only one temporal orientation","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER8,"8/25
Delaying positive experiences or splitting them into smaller units
Temporarily withdrawing from a positive experience, or subdividing a pleasant experience into smaller units to prolong anticipation and enjoyment. Rather than sacrificing prolonged pleasure for instant gratification","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER9,"9/25

 
Blocking negative thoughts



Preventing the retrieval of negative thoughts and memories that may hinder positive experiences, or reconfiguring them to create a more positive view. Rather than letting them lurk unaddressed around your daily life","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER10,"10/25

 
Habitualizing positive practices



Enhancing your life by practicing positive actions regularly as part of your lifestyle. Rather than occasionally performing them","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER11,"11/25

 
Please choose any number of the remaining 15 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)





Being immersed and absorbed

Becoming fully engaged in a positive experience or its aspects, existing only in the present. Rather than allowing other concerns to hinder your enjoyment","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER12,"12/25

 
Anticipating



Vividly anticipating likely positive experiences that will occur in the future. Rather than focusing only on the past or present","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER13,"13/25

 
Reminiscing



Recalling and reliving past positive experiences for emotional or sentimental reasons. Rather than focusing only on the present or future","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER14,"14/25

 
Moral elevating



Being moved by witnessing someone perform an act of virtue such as being brave, honest, kind, or perseverant; feeling inspired to act this way yourself. Rather than considering virtuous behaviors as mundane","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER15,"15/25

 
Fantasizing 
Imagining positive experiences of varying likelihood. Rather than restricting your imagination to likely possibilities","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
